date,account,amount,rate_rub
2023-02-27,alfa,0,
2023-02-27,cash-usd,6600,75.29
2023-02-27,ff,59396,
2023-02-27,mts,0,
2023-02-27,raif,1.95375e+06,
2023-02-27,t-bank-debit,600983,
2023-02-27,t-bank-kreditka,-127113,
2023-02-27,t-bank-nakopitelnyi,0,
2023-02-27,tinkoff-broker,5.91531e+06,
2024-01-14,alfa,374850,
2024-01-14,cash-rub,45000,
2024-01-14,cash-usd,6600,88.41
2024-01-14,ff,59396,
2024-01-14,mts,0,
2024-01-14,raif,0,
2024-01-14,t-bank-debit,475583,
2024-01-14,t-bank-kreditka,-197776,
2024-01-14,t-bank-nakopitelnyi,3.49289e+06,
2024-01-14,tinkoff-broker,7.72093e+06,
2024-01-30,alfa,3.3392e+06,
2024-01-30,cash-rub,45000,
2024-01-30,cash-usd,6600,89.72
2024-01-30,ff,18731,
2024-01-30,mts,127881,
2024-01-30,raif,0,
2024-01-30,t-bank-debit,86686,
2024-01-30,t-bank-kreditka,-246218,
2024-01-30,t-bank-nakopitelnyi,3.90399e+06,
2024-01-30,tinkoff-broker,7.95278e+06,
2024-02-10,alfa,293340,
2024-02-10,cash-rub,45000,
2024-02-10,cash-usd,6600,90.9
2024-02-10,ff,18731,
2024-02-10,mts,0,
2024-02-10,raif,0,
2024-02-10,t-bank-debit,238862,
2024-02-10,t-bank-kreditka,-61316,
2024-02-10,t-bank-nakopitelnyi,4.00244e+06,
2024-02-10,tinkoff-broker,8.09264e+06,
2024-02-24,alfa,5.53509e+06,
2024-02-24,cash-rub,45000,
2024-02-24,cash-usd,6600,92.85
2024-02-24,ff,18731,
2024-02-24,mts,0,
2024-02-24,raif,0,
2024-02-24,t-bank-debit,302624,
2024-02-24,t-bank-kreditka,-75260,
2024-02-24,t-bank-nakopitelnyi,1.97427e+06,
2024-02-24,tinkoff-broker,8.22428e+06,
2024-02-29,alfa,5.56026e+06,
2024-02-29,cash-rub,45000,
2024-02-29,cash-usd,6600,91.15
2024-02-29,ff,18731,
2024-02-29,mts,852106,
2024-02-29,raif,0,
2024-02-29,t-bank-debit,300185,
2024-02-29,t-bank-kreditka,-165728,
2024-02-29,t-bank-nakopitelnyi,1.97427e+06,
2024-02-29,tinkoff-broker,9.18309e+06,
2024-03-10,alfa,6.38022e+06,
2024-03-10,cash-rub,45000,
2024-03-10,cash-usd,6600,90.6
2024-03-10,ff,18731,
2024-03-10,mts,1.67944e+06,
2024-03-10,raif,0,
2024-03-10,t-bank-debit,208952,
