date,device,app,minutes
2026-09-02,mac,Google Chrome,114.2
2026-09-02,mac,Claude,84.8
2026-09-02,mac,Telegram,83
2026-09-02,mac,Code,31
2026-09-02,mac,Discord,16.3
2026-09-02,mac,Yandex Music,2.7
2026-09-02,mac,Warp,1.8
2026-09-02,mac,Calendar,1.3
2026-09-02,mac,Notes,1.2
2026-09-03,mac,Debrief,53.6
2026-09-03,mac,Google Chrome,50.3
2026-09-03,mac,Claude,36.4
2026-09-03,mac,Telegram,16.8
2026-09-03,mac,Discord,8
2026-09-03,mac,Finder,5.7
2026-09-03,mac,Code,1.4
2026-09-03,mac,Happ,0.8
2026-09-03,mac,Warp,0.5
2026-09-04,mac,Debrief,80.8
2026-09-04,mac,Claude,60.6
2026-09-04,mac,Google Chrome,50.3
2026-09-04,mac,Telegram,36.5
2026-09-04,mac,Finder,3
2026-09-04,mac,System Settings,2.6
2026-09-04,mac,QuickTime Player,1.8
2026-09-04,mac,UserNotificationCenter,1.6
2026-09-05,mac,Google Chrome,143.1
2026-09-05,mac,Claude,66.5
2026-09-05,mac,Yandex Music,10.4
2026-09-05,mac,Calendar,6
2026-09-05,mac,AmneziaVPN,4.9
2026-09-05,mac,Yandex Disk,4.9
2026-09-05,mac,Telegram,4.8
2026-09-05,mac,Debrief,3.7
2026-09-05,mac,Finder,3.6
2026-09-06,mac,AmneziaVPN,19.6
2026-09-06,mac,Telegram,11.3
2026-09-06,mac,Google Chrome,3.9
2026-09-06,mac,Calendar,3
2026-09-07,mac,Claude,223.8
2026-09-07,mac,Google Chrome,148.3
2026-09-07,mac,Telegram,73.8
2026-09-07,mac,Discord,31
2026-09-07,mac,Code,21.2
2026-09-07,mac,Yandex Music,10.9
2026-09-07,mac,Calendar,7.5
2026-09-07,mac,Warp,5
2026-09-07,mac,AmneziaVPN,3.5
2026-09-07,mac,Preview,3.4
2026-09-07,mac,Happ,3.2
2026-09-08,mac,Google Chrome,139.3
2026-09-08,mac,Claude,109.9
2026-09-08,mac,Telegram,34.2
2026-09-08,mac,Happ,7.8
2026-09-08,mac,Yandex Music,4.4
2026-09-08,mac,Warp,3.5
2026-09-08,mac,AmneziaVPN,2.4
2026-09-08,mac,Calendar,1.7
2026-09-08,mac,Preview,1
2026-09-08,mac,Finder,0.9
2026-09-09,mac,Google Chrome,111
2026-09-09,mac,Discord,57.9
2026-09-09,mac,Claude,55.2
2026-09-09,mac,Telegram,29.7
2026-09-09,mac,Yandex Music,6.7
2026-09-09,mac,Calendar,3.1
2026-09-09,mac,Yandex Telemost,2.8
2026-09-09,mac,Happ,2.7
2026-09-09,mac,Finder,0.8
2026-09-09,mac,Notes,0.5
2026-09-10,mac,Google Chrome,243.5
2026-09-10,mac,Claude,76.8
2026-09-10,mac,Discord,56.1
2026-09-10,mac,Telegram,23.5
2026-09-10,mac,Yandex Music,4
2026-09-10,mac,Debrief,3.1
2026-09-10,mac,Happ,1.3
2026-09-11,mac,Google Chrome,266.3
2026-09-11,mac,Claude,35.6
2026-09-11,mac,Telegram,9.3
2026-09-11,mac,Discord,0.9
2026-09-11,mac,Calendar,0.5
2026-09-12,mac,Google Chrome,229
2026-09-12,mac,Claude,10.2
2026-09-12,mac,Telegram,2.3
2026-09-12,mac,UserNotificationCenter,1.5
2026-09-13,mac,Google Chrome,21.5
2026-09-13,mac,Claude,7.3
