date,time,kind,minutes,jumps,details,place
2016-09-03,,прыжки,,1,X3M №1 · Tandem AFF · борт L410,Пущино
2016-09-04,,прыжки,,4,X3M №2–5 · AFF · борт L410,Пущино
2016-09-06,,прыжки,,2,X3M №6–7 · AFF · борт L410,Пущино
2016-09-07,,прыжки,,2,X3M №8–9 · AFF · борт L410,Пущино
2024-01-21,22:00,труба,15,,"из календаря: Flow, 1 заход",Flow Moscow
2024-06-08,,прыжки,,2,"X3M №10–11 · 3900 · Контрольный прыжок · борт Л-410 94594, Л-410 94598",Аэроград Коломна
2024-06-09,,прыжки,,3,"X3M №12–14 · 3900 · борт Л-410 94598, Л-410 94594",Аэроград Коломна
2024-06-15,,прыжки,,4,"X3M №15–18 · 3900 · борт Л-410 94594, Л-410 94598",Аэроград Коломна
2024-06-16,,прыжки,,3,"X3M №19–21 · 3900 · борт Ми-8 Иволга, Л-410 94594",Аэроград Коломна
2024-06-19,,прыжки,,6,"X3M №22–27 · 3900 · борт Л-410 94594, Л-410 94598",Аэроград Коломна
2024-06-21,,прыжки,,5,"X3M №28–32 · 3900 · борт Л-410 94594, Л-410 94598",Аэроград Коломна
2024-06-22,,прыжки,,6,"X3M №33–38 · 3900 · борт Ми-8 Иволга, Л-410 94598",Аэроград Коломна
2024-06-28,,прыжки,,5,"X3M №39–43 · 3900 · борт Л-410 94594, Л-410 94598",Аэроград Коломна
2024-06-29,,прыжки,,3,"X3M №44–46 · 3900 · борт Л-410 94594, Л-410 94598",Аэроград Коломна
2024-07-06,,прыжки,,5,"X3M №47–51 · 3900 · борт Л-410 94594, Л-410 94598",Аэроград Коломна
2024-07-07,,прыжки,,7,"X3M №52–58 · 3900 · борт Л-410 94592, Л-410 94594, Л-410 94598",Аэроград Коломна
2024-07-13,,прыжки,,8,"X3M №59–66 · 3900 · борт Л-410 94594, Л-410 94592, Л-410 94598",Аэроград Коломна
2024-07-20,,прыжки,,7,"X3M №67–73 · 3900 · борт Л-410 94594, Ми-8 Иволга, Л-410 94598",Аэроград Коломна
2024-07-26,,прыжки,,7,"X3M №74–80 · 3900 · Купольная · борт Л-410 94598, Л-410 94594",Аэроград Коломна
2024-08-10,,прыжки,,6,"X3M №81–86 · 3900 · борт Л-410 94592, Л-410 94598, Л-410 94594",Аэроград Коломна
2024-08-24,,прыжки,,7,"X3M №87–93 · 3900 · борт Л-410 94594, Л-410 94592, Л-410 94598",Аэроград Коломна
2024-08-25,,прыжки,,7,"X3M №94–100 · 3900 · борт Л-410 94592, Л-410 94594, Л-410 94598, Ми-8 Иволга",Аэроград Коломна
2024-08-26,,прыжки,,5,X3M №101–105 · 3900 · борт Л-410 94598,Аэроград Коломна
2024-08-30,,прыжки,,8,"X3M №106–113 · 3900 · борт Л-410 94594, Л-410 94598",Аэроград Коломна
2024-08-31,,прыжки,,6,"X3M №114–119 · Альфа-Формация · борт Л-410 94592, Ми-8 Иволга, Л-410 94598, Л-410 94594",Аэроград Коломна
2024-09-01,,прыжки,,8,"X3M №120–127 · 3900 · борт Л-410 94594, Л-410 94598, Л-410 94592",Аэроград Коломна
2024-09-07,,прыжки,,5,"X3M №128–132 · Альфа-Формация · борт Л-410 94592, Л-410 94598, Л-410 94594",Аэроград Коломна
2024-09-08,,прыжки,,4,"X3M №133–136 · 3900 · борт Л-410 94598, Л-410 94592, Л-410 94594",Аэроград Коломна
2024-09-14,,прыжки,,5,"X3M №137–141 · 3900 · борт Л-410 94594, Л-410 94598, Л-410 94592",Аэроград Коломна
2024-09-19,,прыжки,,2,X3M №142–143 · 3900 · борт Л-410 94594,Аэроград Коломна
2024-09-21,,прыжки,,6,"X3M №144–149 · 3900 · борт Л-410 94598, Л-410 94594, Л-410 94592",Аэроград Коломна
2024-09-22,,прыжки,,6,"X3M №150–155 · 3900 · борт Л-410 94594, Л-410 94598, Ми-8 Иволга, Л-410 94592",Аэроград Коломна
2024-09-29,,прыжки,,6,X3M №156–161 · 3900 · борт Л-410 94594,Аэроград Коломна
2024-10-08,17:30,труба,15,,"из календаря: WT, 1 заход",Vacuum
2024-10-10,17:00,труба,15,,"из календаря: WT, 1 заход",Vacuum
2024-10-12,,прыжки,,1,X3M №162 · 3900 · борт Л-410 94594,Аэроград Коломна
2024-10-15,18:00,труба,15,,"из календаря: WT, 1 заход",Vacuum
2024-10-18,19:00,труба,15,,"из календаря: WT, 1 заход",Vacuum
2024-11-01,20:00,труба,15,,"из календаря: WT, 1 заход",Vacuum
2024-11-05,19:30,труба,15,,"из календаря: WT, 1 заход",Vacuum
2024-11-11,17:00,труба,45,,"из календаря: WT x3, 3 заходов",Vacuum
2024-11-15,17:00,труба,30,,"из календаря: WT x2, 2 заходов",Vacuum
2024-11-19,17:30,труба,30,,"из календаря: WT x2, 2 заходов",Vacuum
2024-11-21,17:00,труба,30,,"из календаря: WT x2, 2 заходов",Vacuum
2024-11-25,17:00,труба,45,,"из календаря: WT x3, 3 заходов",Vacuum
2024-11-29,17:00,труба,45,,"из календаря: WT x3, 3 заходов",Vacuum
2024-12-03,17:30,труба,45,,"из календаря: WT x3, 3 заходов",Vacuum
2024-12-05,18:30,труба,30,,"из календаря: WT x2, 2 заходов",Vacuum
2024-12-09,18:00,труба,30,,"из календаря: WTx2, 2 заходов",Vacuum
2024-12-13,17:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2024-12-17,17:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2024-12-19,17:30,труба,30,,"из календаря: WTx2, 2 заходов",Vacuum
2024-12-20,20:30,труба,15,,"из календаря: Flow, 1 заход",Flow Moscow
2024-12-24,17:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2024-12-26,21:00,труба,15,,"из календаря: Flow, 1 заход",Flow Moscow
2025-01-14,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-01-16,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-01-20,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-01-24,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-02-04,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-02-11,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-02-13,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-02-18,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-02-21,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-02-25,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-02-27,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-03-04,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-03-07,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-03-11,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-03-13,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-03-21,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-03-25,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-05-06,19:30,труба,45,,"из календаря: WTx3, 3 заходов",Vacuum
2025-05-24,,прыжки,,4,"X3M №163–166 · FF кемп (Д/групп) · борт Л-410 94594, Л-410 94598, Л-410 94592",Аэроград Коломна
2025-05-25,,прыжки,,2,"X3M №167–168 · FF кемп (Д/групп) · борт Л-410 94598, Л-410 94592",Аэроград Коломна
2025-06-07,,прыжки,,2,"X3M №169–170 · 3900 · борт Л-410 94598, Л-410 94594",Аэроград Коломна
2025-06-08,,прыжки,,4,"X3M №171–174 · 3900 · борт Л-410 94598, Л-410 94594",Аэроград Коломна
2025-06-21,,прыжки,,3,"X3M №175–177 · 3900 · борт Ми-8 Иволга, Л-410 94594",Аэроград Коломна
2025-06-28,,прыжки,,7,"X3M №178–184 · 3900 · борт Л-410 94598, Л-410 94594, Л-410 94592",Аэроград Коломна
2025-06-29,,прыжки,,6,"X3M №185–190 · 3900 · борт Л-410 94598, Л-410 94594, Л-410 94592, Ми-8 Иволга",Аэроград Коломна
2025-07-12,,прыжки,,3,X3M №191–193 · FF кемп (Д/групп) · борт Ми-8 Иволга,Аэроград Коломна
2025-07-13,,прыжки,,6,"X3M №194–199 · FF кемп (Д/групп) · борт Л-410 94598, Ми-8 Иволга",Аэроград Коломна
2025-07-19,,прыжки,,3,"X3M №200–202 · FF кемп (Д/групп) · борт Л-410 94592, Ми-8 Иволга",Аэроград Коломна
2025-07-26,,прыжки,,7,X3M №203–209 · FF кемп (Д/групп) · борт Ми-8 Иволга,Аэроград Коломна
2025-07-27,,прыжки,,7,"X3M №210–216 · FF кемп (Д/групп) · борт Ми-8 Иволга, Л-410 94594",Аэроград Коломна
