date,from,to,asleep_min,awake_min,deep_min,rem_min
2026-08-25,00:59,08:04,413,12,82,77
2026-08-26,00:08,07:56,429,39,63,101
2026-08-27,23:47,06:50,359,64,63,68
2026-08-28,23:40,07:26,421,45,69,71
2026-08-29,23:37,06:50,400,33,57,71
2026-08-30,00:18,07:12,406,8,61,114
2026-08-31,00:02,08:13,470,21,74,138
2026-09-01,00:34,07:33,401,18,74,100
2026-09-02,00:22,09:08,452,74,76,56
2026-09-03,23:48,08:03,467,28,75,118
2026-09-04,23:30,07:37,458,29,74,118
2026-09-05,00:09,00:33,24,,,
2026-09-05,01:25,09:22,439,38,67,88
