id,title,due,every_days,repeat_from,repeat_rule,status,last_done,keywords,on_done,created,note
podstrichsya,Подстричься,2026-09-16,21,done,,open,2026-08-26,"стриж,💇,oldboy,barber",,2026-09-08,обычно OldBoy; сдвиг на 4–5 недель не критичен
dutasterid,Дутастерид,2026-09-15,1,due,,open,2026-09-14,дутастерид,medication:Дутастерид|0.5 мг|Себорейный дерматит,2026-09-09,"ежедневно 0.5 мг, при себорейном дерматите"
zabrat-dostavku-dutasterida-iz-apteki,Забрать доставку Дутастерида из аптеки,2026-09-14,,done,,done,2026-09-10,"дутастерид,аптек",,2026-09-09,"заказ № UT-261806119, доставка с выдачей в аптеке"
oformit-vizu-b1-v-indoneziyu,Оформить визу B1 в Индонезию,2026-09-16,,done,,done,2026-09-14,"виза,evisa,индонез",,2026-09-09,"evisa.imigrasi.go.id, 30 $; до вылета 17.09 в 14:40 (Москва – Денпасар, SU 296)"
zapolnit-kartu-pribytiya-all-indonesia,Заполнить карту прибытия All Indonesia,2026-09-17,,done,,open,,"all indonesia,карта прибытия,allindonesia",,2026-09-09,"allindonesia.imigrasi.go.id — в пределах 72 часов до прилёта: прилёт 18.09 в 08:05 по Бали, окно открывается с 15.09 ~03:00 МСК; сделать до вылета 17.09 14:40"
zapolnit-finansy,Заполнить финансы,2026-09-27,,due,last_weekend,open,,финанс,,2026-09-10,обновить остатки по счетам и депозитам в разделе «Финансы» (снапшот через Сагу)
sobrat-aptechku-na-bali,Собрать аптечку на Бали,2026-09-13,,done,,done,2026-09-13,,,2026-09-10,
sobrat-odezhdu-i-obuv-na-bali,Собрать одежду и обувь на Бали,2026-09-16,,done,,open,,,,2026-09-14,
sobrat-dokumenty-pasport-viza-strahovka-bilety,"Собрать документы (паспорт, виза, страховка, билеты)",2026-09-16,,done,,open,,,,2026-09-14,
sobrat-aptechku-v-poezdku,Собрать аптечку в поездку,2026-09-16,,done,,open,,,,2026-09-14,
zaryadki-perehodnik-poverbank,"Зарядки, переходник, повербанк",2026-09-16,,done,,open,,,,2026-09-14,
solncezaschita-i-repellenty,Солнцезащита и репелленты,2026-09-16,,done,,open,,,,2026-09-14,
nalichnaya-valyuta-na-poezdku,Наличная валюта на поездку,2026-09-16,,done,,open,,,,2026-09-14,
