date,time,type,minutes,kcal,source,details
2026-08-03,,не указан,,,вручную,отмечена как выполненная
2026-08-05,,не указан,,,вручную,отмечена как выполненная
2026-08-07,,не указан,,,вручную,отмечена как выполненная
2026-08-09,,йога,,,вручную,заметка «ноги»; сама тренировка отмечена как не выполненная
2026-08-18,20:05,WEIGHT_MACHINES,55,,fitbit,
2026-08-19,18:27,WALKING,26,,fitbit,
2026-08-19,20:30,WALKING,31,,fitbit,
2026-08-20,19:37,WALKING,55,,fitbit,
2026-08-20,22:00,аэротруба,15,,вручную,"Flow Moscow, с Ярославом Деруновым"
2026-08-20,22:00,CORE_TRAINING,30,,fitbit,
2026-08-20,23:00,аэротруба,15,,вручную,"Flow Moscow, с Ярославом Деруновым"
2026-08-20,23:00,CORE_TRAINING,30,,fitbit,
