id,trip,title,days_before,done,done_at,note
bali-2026-09-17-c1,bali-2026-09-17,Паспорт и виза: проверить сроки,30,1,2026-09-16,"загранпаспорт до 2034, e-VOA до 12.12.2026"
bali-2026-09-17-c2,bali-2026-09-17,Страховка,14,1,2026-09-16,
bali-2026-09-17-c3,bali-2026-09-17,Жильё на все ночи,14,1,2026-09-23,Bintang Kuta 18–23.09 + Grand Ixora Kuta Resort 23–27.09 (RGIR000000742)
bali-2026-09-17-c4,bali-2026-09-17,Трансфер из аэропорта,7,1,2026-09-16,
bali-2026-09-17-c5,bali-2026-09-17,Наличные и карты,3,1,2026-09-16,
bali-2026-09-17-c6,bali-2026-09-17,Сим-карта или роуминг,2,1,2026-09-16,
bali-2026-09-17-c7,bali-2026-09-17,Онлайн-регистрация на рейс,1,1,2026-09-16,посадочный из письма 1a0aa11198429ee7
bali-2026-09-17-c8,bali-2026-09-17,Собрать вещи и зарядки,1,1,2026-09-19,
kuveit-gt-kuwait-2027-2027-01-31-c1,kuveit-gt-kuwait-2027-2027-01-31,Паспорт и виза: проверить сроки,30,,,
kuveit-gt-kuwait-2027-2027-01-31-c2,kuveit-gt-kuwait-2027-2027-01-31,Страховка,14,,,
kuveit-gt-kuwait-2027-2027-01-31-c3,kuveit-gt-kuwait-2027-2027-01-31,Жильё на все ночи,14,,,
kuveit-gt-kuwait-2027-2027-01-31-c4,kuveit-gt-kuwait-2027-2027-01-31,Трансфер из аэропорта,7,,,
kuveit-gt-kuwait-2027-2027-01-31-c5,kuveit-gt-kuwait-2027-2027-01-31,Наличные и карты,3,,,
kuveit-gt-kuwait-2027-2027-01-31-c6,kuveit-gt-kuwait-2027-2027-01-31,Сим-карта или роуминг,2,,,
kuveit-gt-kuwait-2027-2027-01-31-c7,kuveit-gt-kuwait-2027-2027-01-31,Онлайн-регистрация на рейс,1,,,
kuveit-gt-kuwait-2027-2027-01-31-c8,kuveit-gt-kuwait-2027-2027-01-31,Собрать вещи и зарядки,1,,,
goodsky-kemp-konnova-oktyabr-2026-10-16-c1,goodsky-kemp-konnova-oktyabr-2026-10-16,Паспорт и виза: проверить сроки,30,1,2026-09-24,
goodsky-kemp-konnova-oktyabr-2026-10-16-c2,goodsky-kemp-konnova-oktyabr-2026-10-16,Страховка,14,1,2026-09-24,
goodsky-kemp-konnova-oktyabr-2026-10-16-c3,goodsky-kemp-konnova-oktyabr-2026-10-16,Жильё на все ночи,14,,,
goodsky-kemp-konnova-oktyabr-2026-10-16-c4,goodsky-kemp-konnova-oktyabr-2026-10-16,Трансфер из аэропорта,7,,,
goodsky-kemp-konnova-oktyabr-2026-10-16-c5,goodsky-kemp-konnova-oktyabr-2026-10-16,Наличные и карты,3,1,2026-09-24,
goodsky-kemp-konnova-oktyabr-2026-10-16-c7,goodsky-kemp-konnova-oktyabr-2026-10-16,Онлайн-регистрация на рейс,1,,,
goodsky-kemp-konnova-oktyabr-2026-10-16-c8,goodsky-kemp-konnova-oktyabr-2026-10-16,Собрать вещи и зарядки,1,,,
goodsky-kemp-konnova-noyabr-2026-11-27-c1,goodsky-kemp-konnova-noyabr-2026-11-27,Паспорт и виза: проверить сроки,30,,,
goodsky-kemp-konnova-noyabr-2026-11-27-c2,goodsky-kemp-konnova-noyabr-2026-11-27,Страховка,14,,,
goodsky-kemp-konnova-noyabr-2026-11-27-c3,goodsky-kemp-konnova-noyabr-2026-11-27,Жильё на все ночи,14,,,
goodsky-kemp-konnova-noyabr-2026-11-27-c4,goodsky-kemp-konnova-noyabr-2026-11-27,Трансфер из аэропорта,7,,,
goodsky-kemp-konnova-noyabr-2026-11-27-c5,goodsky-kemp-konnova-noyabr-2026-11-27,Наличные и карты,3,,,
goodsky-kemp-konnova-noyabr-2026-11-27-c7,goodsky-kemp-konnova-noyabr-2026-11-27,Онлайн-регистрация на рейс,1,,,
goodsky-kemp-konnova-noyabr-2026-11-27-c8,goodsky-kemp-konnova-noyabr-2026-11-27,Собрать вещи и зарядки,1,,,
