id,trip,kind,title,date,time,end_date,end_time,from_place,to_place,ref,status,price,document,event,details,created
bali-2026-09-17-flight-su-296-moskva-denpasar-2026-09-17,bali-2026-09-17,flight,SU 296 Москва — Денпасар,2026-09-17,14:40,2026-09-18,08:05,"Шереметьево, терминал C",Денпасар (DPS),GKM6KW,paid,,aviabilet-moskva-denpasar-su296-su297,,"Airbus A350-900, эконом Лайт (Q/G), место 26A. Багаж не включён — только ручная кладь. Заказ Купибилет 2650931290. Регистрация закрывается за 20 мин до вылета. По прилёте — QR из All Indonesia.",2026-09-16
bali-2026-09-17-flight-su-297-denpasar-moskva-2026-09-27,bali-2026-09-17,flight,SU 297 Денпасар — Москва,2026-09-27,10:05,2026-09-27,18:15,Денпасар (DPS),Шереметьево (SVO),GKM6KW,paid,,aviabilet-moskva-denpasar-su296-su297,,Место 14A. Багаж не включён.,2026-09-16
bali-2026-09-17-lodging-bintang-kuta-hotel-2026-09-18,bali-2026-09-17,lodging,Bintang Kuta Hotel,2026-09-18,,2026-09-23,,,Кута,,booked,,bron-otelya-bintang-kuta-bali-18-23-09-2026,,"5 ночей, 18–23 сентября.",2026-09-16
bali-2026-09-17-visa-viza-b1-e-voa-indoneziya-2026-09-18,bali-2026-09-17,visa,Виза B1 (e-VOA) Индонезия,2026-09-18,,,,,,,paid,,viza-b1-indoneziya,,Действует до 12.12.2026.,2026-09-16
bali-2026-09-17-other-karta-pribytiya-all-indonesia-2026-09-18,bali-2026-09-17,other,Карта прибытия All Indonesia,2026-09-18,,,,,,,paid,,karta-pribytiya-all-indonesia,,QR показать на паспортном контроле.,2026-09-16
bali-2026-09-17-boarding-2026-09-17-eduard-tishkin,bali-2026-09-17,ticket,Посадочный — Eduard Tishkin,2026-09-17,14:40,,,"Шереметьево, терминал C",Денпасар (DPS),,paid,,posadochnyi-talon-su-296-moskva-denpasar-eduard-tishkin-17-0,,К рейсу SU 296 Москва — Денпасар,2026-09-16
bali-2026-09-17-lodging-grand-ixora-kuta-resort-2026-09-23,bali-2026-09-17,lodging,Grand Ixora Kuta Resort,2026-09-23,,2026-09-27,,,Кута,RGIR000000742,booked,IDR 1 800 034,bron-otelya-grand-ixora-kuta-resort-bali-23-27-09-2026,f6vet5qt31h45adnv8vnpvqi78,"4 ночи, 23–27 сентября. 1 × Superior Room Only, без завтрака. Jl. Kartika Plaza No 92 — та же улица, что Bintang Kuta. Тел. +62 361 759099.",2026-09-23
bali-2026-09-17-activity-kino-dosmotreli-kuntilanak-3-2026-09-22,bali-2026-09-17,activity,Кино: досмотрели «Кунтиланак 3»,2026-09-22,,,,,,,paid,,,,,2026-09-23
bali-2026-09-17-activity-les-obezyan-ubud-2026-09-23,bali-2026-09-17,activity,Лес обезьян (Убуд),2026-09-23,,,,,,,paid,,,,"Приманил детёныша, чтобы он залез на руки. Через 5 секунд прибежала мамаша и чуть не выписала пиздюлей.",2026-09-23
bali-2026-09-17-activity-massazh-2026-09-23,bali-2026-09-17,activity,Массаж,2026-09-23,,,,,,,paid,,,,,2026-09-23
